model;query;formula;satisfied;stored;explored;time;virt mem;res mem
firefly-sync-W1-H1-N10;0;E<> false;false;6501;6501;250;62232;19212
firefly-sync-W1-H1-N15;0;E<> false;false;49233;49233;181724;66560;26768
firefly-sync-W1-H1-N20;0;E<> false;unknown;0;0;0;0;0
firefly-sync-W1-H1-N5;0;E<> false;false;203;203;2;61988;17920
firefly-sync-W2-H1-N3;0;E<> false;false;1671;1671;21;62324;21724
firefly-sync-W2-H1-N4;0;E<> false;false;167359;167359;27102;74372;30616
firefly-sync-W2-H1-N5;0;E<> false;unknown;0;0;0;0;0
gossip-dyn-3;0;E<> false;false;138;138;0;62176;17728
gossip-dyn-4;0;E<> false;false;10272;10272;83;62668;19276
gossip-dyn-5;0;E<> false;false;1657823;1657823;19143;210384;166860
gossip-dyn-6;0;E<> false;unknown;0;0;0;0;0
gossip-dyn-7;0;E<> false;unknown;0;0;0;0;0
gossip-smart-dyn-3;0;E<> false;false;111;111;7;62276;17956
gossip-smart-dyn-4;0;E<> false;false;4980;4980;220;62992;19392
gossip-smart-dyn-5;0;E<> false;false;581683;581743;71637;130936;88552
gossip-smart-dyn-6;0;E<> false;unknown;0;0;0;0;0
gossip-smart-dyn-7;0;E<> false;unknown;0;0;0;0;0
leader-election-2N;0;E<> false;false;40;40;2;62088;17884
leader-election-3N;0;E<> false;false;85626;87621;783;71384;28780
leader-election-4N;0;E<> false;unknown;0;0;0;0;0
leader-election-5N;0;E<> false;unknown;0;0;0;0;0
printing-projects-2-5;0;E<> false;false;961;961;18;62768;18724
printing-projects-2-6;0;E<> false;false;7169;7169;209;63180;19780
printing-projects-2-7;0;E<> false;false;46081;46081;1739;67852;24268
printing-projects-2-8;0;E<> false;false;638977;638977;33792;166828;122996
printing-projects-2-9;0;E<> false;false;1490945;1490945;96400;305212;261248
printing-projects-3-5;0;E<> false;false;4321;4321;106;63048;19400
printing-projects-3-6;0;E<> false;false;45697;45697;1670;67900;24768
printing-projects-3-7;0;E<> false;false;382465;382465;19320;123248;80248
printing-projects-3-8;0;E<> false;false;7176193;7176193;522060;1218016;1174004
printing-projects-3-9;0;E<> false;false;18210817;18210817;1553321;3186800;3144212
sched-var-progress-2-3;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-4;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-5;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-6;0;E<> false;unknown;0;0;0;0;0
tcp-aimd-2;0;E<> false;false;23282;46236;174;65212;21312
tcp-aimd-3;0;E<> false;false;4328328;8543968;55551;768844;725860
tcp-aimd-4;0;E<> false;unknown;0;0;0;0;0
tcp-aimd-5;0;E<> false;unknown;0;0;0;0;0
tcp-aimd-6;0;E<> false;unknown;0;0;0;0;0
tcp-linear-2;0;E<> false;false;25891;44109;185;65212;20908
tcp-linear-3;0;E<> false;false;4237041;7941033;53843;750020;706692
tcp-linear-4;0;E<> false;unknown;0;0;0;0;0
tcp-linear-5;0;E<> false;unknown;0;0;0;0;0
tcp-linear-6;0;E<> false;unknown;0;0;0;0;0
SIMPLE-7;0;E<> false;false;4;4;0;61852;17776
SIMPLE-100;0;E<> false;false;4;4;2;61848;18096
SIMPLE-1000;0;E<> false;false;4;4;3;61852;17832
