model;query;formula;satisfied;stored;explored;time;virt mem;res mem
firefly-sync-W1-H1-N10;0;E<> false;false;6501;6501;170;62224;18840
firefly-sync-W1-H1-N15;0;E<> false;false;49233;49233;179652;66524;26772
firefly-sync-W1-H1-N20;0;E<> false;unknown;0;0;0;0;0
firefly-sync-W1-H1-N5;0;E<> false;false;203;203;4;61988;17696
firefly-sync-W2-H1-N3;0;E<> false;false;1671;1671;22;61936;17892
firefly-sync-W2-H1-N4;0;E<> false;false;167359;167359;26058;74360;30588
firefly-sync-W2-H1-N5;0;E<> false;unknown;0;0;0;0;0
gossip-dyn-3;0;E<> false;false;138;138;2;62180;17988
gossip-dyn-4;0;E<> false;false;10272;10272;57;62656;19316
gossip-dyn-5;0;E<> false;false;1657823;1657823;14980;210372;166996
gossip-dyn-6;0;E<> false;unknown;0;0;0;0;0
gossip-dyn-7;0;E<> false;unknown;0;0;0;0;0
gossip-smart-dyn-3;0;E<> false;false;114;114;5;62272;18040
gossip-smart-dyn-4;0;E<> false;false;5280;5280;65;62996;19308
gossip-smart-dyn-5;0;E<> false;false;625533;625533;15999;135352;92280
gossip-smart-dyn-6;0;E<> false;unknown;0;0;0;0;0
gossip-smart-dyn-7;0;E<> false;unknown;0;0;0;0;0
leader-election-2N;0;E<> false;false;40;40;3;62084;18044
leader-election-3N;0;E<> false;false;85626;87621;647;71364;28824
leader-election-4N;0;E<> false;unknown;0;0;0;0;0
leader-election-5N;0;E<> false;unknown;0;0;0;0;0
printing-projects-2-5;0;E<> false;false;961;961;10;62772;18480
printing-projects-2-6;0;E<> false;false;7169;7169;107;63180;19320
printing-projects-2-7;0;E<> false;false;46081;46081;818;67816;24600
printing-projects-2-8;0;E<> false;false;638977;638977;14514;166796;123332
printing-projects-2-9;0;E<> false;false;1490945;1490945;39567;305180;261144
printing-projects-3-5;0;E<> false;false;4321;4321;60;63052;19136
printing-projects-3-6;0;E<> false;false;45697;45697;802;67880;24748
printing-projects-3-7;0;E<> false;false;382465;382465;8522;123204;79868
printing-projects-3-8;0;E<> false;false;7176193;7176193;214611;1217988;1173680
printing-projects-3-9;0;E<> false;false;18210817;18210817;624253;3186640;3144172
sched-var-progress-2-3;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-4;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-5;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-6;0;E<> false;unknown;0;0;0;0;0
tcp-aimd-2;0;E<> false;false;26736;54923;146;65212;21688
tcp-aimd-3;0;E<> false;false;5007512;9598763;41979;862480;820276
tcp-aimd-4;0;E<> false;unknown;0;0;0;0;0
tcp-aimd-5;0;E<> false;unknown;0;0;0;0;0
tcp-aimd-6;0;E<> false;unknown;0;0;0;0;0
tcp-linear-2;0;E<> false;false;27033;45345;120;65216;21192
tcp-linear-3;0;E<> false;false;4555707;8382345;36539;781008;737516
tcp-linear-4;0;E<> false;unknown;0;0;0;0;0
tcp-linear-5;0;E<> false;unknown;0;0;0;0;0
tcp-linear-6;0;E<> false;unknown;0;0;0;0;0
SIMPLE-7;0;E<> false;false;4;11;1;61852;18068
SIMPLE-100;0;E<> false;false;4;104;3;61848;17952
SIMPLE-1000;0;E<> false;false;4;1004;0;61848;17624
