model;query;formula;satisfied;stored;explored;time;virt mem;res mem
SIMPLE-100;0;E<> false;false;4;4;0;61856;17672
SIMPLE-1000;0;E<> false;false;4;4;1;61852;17796
SIMPLE-7;0;E<> false;false;4;4;1;61856;17896
firefly-sync-W1-H1-N10;0;E<> false;false;6501;6501;246;62228;18964
firefly-sync-W1-H1-N15;0;E<> false;false;49233;49233;183589;66552;26876
firefly-sync-W1-H1-N20;0;E<> false;unknown;0;0;0;0;0
firefly-sync-W1-H1-N5;0;E<> false;false;203;203;3;61984;17884
firefly-sync-W2-H1-N3;0;E<> false;false;1671;1671;20;61932;17728
firefly-sync-W2-H1-N4;0;E<> false;false;167359;167359;28663;74360;30180
firefly-sync-W2-H1-N5;0;E<> false;unknown;0;0;0;0;0
gossip-dyn-3;0;E<> false;false;138;138;1;62176;18132
gossip-dyn-4;0;E<> false;false;10272;10272;73;62664;19080
gossip-dyn-5;0;E<> false;false;1657823;1657823;19662;210384;166872
gossip-dyn-6;0;E<> false;unknown;0;0;0;0;0
gossip-dyn-7;0;E<> false;unknown;0;0;0;0;0
gossip-smart-dyn-3;0;E<> false;false;111;111;4;62272;18284
gossip-smart-dyn-4;0;E<> false;false;4980;4980;211;62992;19364
gossip-smart-dyn-5;0;E<> false;false;581683;581743;78093;130932;88284
gossip-smart-dyn-6;0;E<> false;unknown;0;0;0;0;0
gossip-smart-dyn-7;0;E<> false;unknown;0;0;0;0;0
leader-election-2N;0;E<> false;false;40;40;0;62080;18088
leader-election-3N;0;E<> false;false;85626;87621;804;71380;28780
leader-election-4N;0;E<> false;unknown;0;0;0;0;0
leader-election-5N;0;E<> false;unknown;0;0;0;0;0
printing-projects-2-5;0;E<> false;false;961;961;18;62768;18444
printing-projects-2-6;0;E<> false;false;7169;7169;209;63172;19784
printing-projects-2-7;0;E<> false;false;46081;46081;1808;67852;24424
printing-projects-2-8;0;E<> false;false;638977;638977;34967;166824;123352
printing-projects-2-9;0;E<> false;false;1490945;1490945;96797;305216;261320
printing-projects-3-5;0;E<> false;false;4321;4321;109;63052;19352
printing-projects-3-6;0;E<> false;false;45697;45697;1738;67912;24676
printing-projects-3-7;0;E<> false;false;382465;382465;20000;123244;79916
printing-projects-3-8;0;E<> false;false;7176193;7176193;528599;1218024;1173828
printing-projects-3-9;0;E<> false;false;18210817;18210817;1602292;3186800;3143924
sched-var-progress-2-3;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-4;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-5;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-6;0;E<> false;unknown;0;0;0;0;0
tcp-aimd-2;0;E<> false;false;23282;46236;178;65212;21316
tcp-aimd-3;0;E<> false;false;4328328;8543968;57590;768844;726236
tcp-aimd-4;0;E<> false;unknown;0;0;0;0;0
tcp-aimd-5;0;E<> false;unknown;0;0;0;0;0
tcp-aimd-6;0;E<> false;unknown;0;0;0;0;0
tcp-linear-2;0;E<> false;false;25891;44109;180;65212;21148
tcp-linear-3;0;E<> false;false;4237041;7941033;55760;750016;706376
tcp-linear-4;0;E<> false;unknown;0;0;0;0;0
tcp-linear-5;0;E<> false;unknown;0;0;0;0;0
tcp-linear-6;0;E<> false;unknown;0;0;0;0;0
