model;query;formula;satisfied;stored;explored;time;virt mem;res mem
SIMPLE-100;0;E<> false;false;4;4;0;61848;17668
SIMPLE-1000;0;E<> false;false;4;4;0;61856;17504
SIMPLE-7;0;E<> false;false;4;4;0;61856;17556
firefly-sync-W1-H1-N10;0;E<> false;false;6501;6501;264;62232;19188
firefly-sync-W1-H1-N15;0;E<> false;false;49233;49233;185445;66552;26908
firefly-sync-W1-H1-N20;0;E<> false;unknown;0;0;0;0;0
firefly-sync-W1-H1-N5;0;E<> false;false;203;203;0;61984;18020
firefly-sync-W2-H1-N3;0;E<> false;false;1671;1671;18;61936;17592
firefly-sync-W2-H1-N4;0;E<> false;false;167359;167359;28803;74364;30640
firefly-sync-W2-H1-N5;0;E<> false;unknown;0;0;0;0;0
gossip-dyn-3;0;E<> false;false;138;138;2;62180;18000
gossip-dyn-4;0;E<> false;false;17640;17640;128;63856;19764
gossip-dyn-5;0;E<> false;false;3264863;3264863;35936;351808;309232
gossip-dyn-6;0;E<> false;unknown;0;0;0;0;0
gossip-dyn-7;0;E<> false;unknown;0;0;0;0;0
gossip-smart-dyn-3;0;E<> false;false;135;135;5;62268;17908
gossip-smart-dyn-4;0;E<> false;false;6972;7158;350;63128;19328
gossip-smart-dyn-5;0;E<> false;false;919243;984913;147467;173220;131080
gossip-smart-dyn-6;0;E<> false;unknown;0;0;0;0;0
gossip-smart-dyn-7;0;E<> false;unknown;0;0;0;0;0
leader-election-2N;0;E<> false;false;40;40;1;62080;18092
leader-election-3N;0;E<> false;false;127537;128658;1313;73388;32376
leader-election-4N;0;E<> false;unknown;0;0;0;0;0
leader-election-5N;0;E<> false;unknown;0;0;0;0;0
printing-projects-2-5;0;E<> false;false;7257;7257;152;62900;19360
printing-projects-2-6;0;E<> false;false;125525;125525;4718;74264;30624
printing-projects-2-7;0;E<> false;false;1601757;1601757;112090;203140;161812
printing-projects-2-8;0;E<> false;false;51128387;51128387;9625161;4580068;4551996
printing-projects-2-9;0;E<> false;unknown;0;0;0;0;0
printing-projects-3-5;0;E<> false;false;94606;94606;3652;71192;28736
printing-projects-3-6;0;E<> false;false;3166909;3166909;475073;369848;341436
printing-projects-3-7;0;E<> false;unknown;0;0;0;0;0
printing-projects-3-8;0;E<> false;unknown;0;0;0;0;0
printing-projects-3-9;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-3;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-4;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-5;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-6;0;E<> false;unknown;0;0;0;0;0
tcp-aimd-2;0;E<> false;false;28736;60934;216;66240;22456
tcp-aimd-3;0;E<> false;false;6486638;13761607;90889;1135476;1094016
tcp-aimd-4;0;E<> false;unknown;0;0;0;0;0
tcp-aimd-5;0;E<> false;unknown;0;0;0;0;0
tcp-aimd-6;0;E<> false;unknown;0;0;0;0;0
tcp-linear-2;0;E<> false;false;62358;103551;411;68556;25520
tcp-linear-3;0;E<> false;false;30274603;57780110;497366;4266968;4227756
tcp-linear-4;0;E<> false;unknown;0;0;0;0;0
tcp-linear-5;0;E<> false;unknown;0;0;0;0;0
tcp-linear-6;0;E<> false;unknown;0;0;0;0;0
