model;query;formula;satisfied;stored;explored;time;virt mem;res mem
SIMPLE-100;0;E<> false;false;4;32771;70;63912;19908
SIMPLE-1000;0;E<> false;false;4;32771;74;63908;19976
SIMPLE-7;0;E<> false;false;4;32771;74;63908;19976
firefly-sync-W1-H1-N10;0;E<> false;false;6501;6501;174;62228;18848
firefly-sync-W1-H1-N15;0;E<> false;false;49233;49233;184325;66524;26764
firefly-sync-W1-H1-N20;0;E<> false;unknown;0;0;0;0;0
firefly-sync-W1-H1-N5;0;E<> false;false;203;203;4;61984;18016
firefly-sync-W2-H1-N3;0;E<> false;false;1671;1671;11;61936;17888
firefly-sync-W2-H1-N4;0;E<> false;false;167359;167359;27644;74360;30180
firefly-sync-W2-H1-N5;0;E<> false;unknown;0;0;0;0;0
gossip-dyn-3;0;E<> false;false;138;138;0;62172;17968
gossip-dyn-4;0;E<> false;false;10272;10272;58;62660;18972
gossip-dyn-5;0;E<> false;false;1657823;1657823;15299;210372;166680
gossip-dyn-6;0;E<> false;unknown;0;0;0;0;0
gossip-dyn-7;0;E<> false;unknown;0;0;0;0;0
gossip-smart-dyn-3;0;E<> false;false;114;114;0;62272;18204
gossip-smart-dyn-4;0;E<> false;false;5280;5280;62;62992;19012
gossip-smart-dyn-5;0;E<> false;false;625533;625533;16521;135356;92392
gossip-smart-dyn-6;0;E<> false;unknown;0;0;0;0;0
gossip-smart-dyn-7;0;E<> false;unknown;0;0;0;0;0
leader-election-2N;0;E<> false;false;40;40;0;62080;17892
leader-election-3N;0;E<> false;false;85626;87621;666;71364;28664
leader-election-4N;0;E<> false;unknown;0;0;0;0;0
leader-election-5N;0;E<> false;unknown;0;0;0;0;0
printing-projects-2-5;0;E<> false;false;961;961;15;62768;18736
printing-projects-2-6;0;E<> false;false;7169;7169;110;63172;19560
printing-projects-2-7;0;E<> false;false;46081;46081;850;67820;24384
printing-projects-2-8;0;E<> false;false;638977;638977;15213;166792;122952
printing-projects-2-9;0;E<> false;false;1490945;1490945;40862;305180;261192
printing-projects-3-5;0;E<> false;false;4321;4321;62;63044;18916
printing-projects-3-6;0;E<> false;false;45697;45697;813;67876;24520
printing-projects-3-7;0;E<> false;false;382465;382465;8694;123204;80028
printing-projects-3-8;0;E<> false;false;7176193;7176193;223053;1217992;1173660
printing-projects-3-9;0;E<> false;false;18210817;18210817;647134;3186640;3143756
sched-var-progress-2-3;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-4;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-5;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-6;0;E<> false;unknown;0;0;0;0;0
tcp-aimd-2;0;E<> false;false;26736;54923;141;65200;22096
tcp-aimd-3;0;E<> false;false;5007512;9598763;43392;862472;820272
tcp-aimd-4;0;E<> false;unknown;0;0;0;0;0
tcp-aimd-5;0;E<> false;unknown;0;0;0;0;0
tcp-aimd-6;0;E<> false;unknown;0;0;0;0;0
tcp-linear-2;0;E<> false;false;27033;45345;119;65216;21364
tcp-linear-3;0;E<> false;false;4555707;8382345;37830;781016;737740
tcp-linear-4;0;E<> false;unknown;0;0;0;0;0
tcp-linear-5;0;E<> false;unknown;0;0;0;0;0
tcp-linear-6;0;E<> false;unknown;0;0;0;0;0
