model;query;formula;satisfied;stored;explored;time;virt mem;res mem
SIMPLE-100;0;E<> false;false;32772;32772;14589;64756;25556
SIMPLE-1000;0;E<> false;false;32772;32772;14440;64756;25616
SIMPLE-7;0;E<> false;false;32772;32772;14675;64744;25652
firefly-sync-W1-H1-N10;0;E<> false;false;6501;6501;180;62616;22880
firefly-sync-W1-H1-N15;0;E<> false;false;49233;49233;183128;66520;26972
firefly-sync-W1-H1-N20;0;E<> false;unknown;0;0;0;0;0
firefly-sync-W1-H1-N5;0;E<> false;false;203;203;3;61980;18016
firefly-sync-W2-H1-N3;0;E<> false;false;1671;1671;10;61936;17948
firefly-sync-W2-H1-N4;0;E<> false;false;167359;167359;28304;74352;30772
firefly-sync-W2-H1-N5;0;E<> false;unknown;0;0;0;0;0
gossip-dyn-3;0;E<> false;false;138;138;2;62180;18152
gossip-dyn-4;0;E<> false;false;16536;16536;93;63848;19648
gossip-dyn-5;0;E<> false;false;3016463;3016463;26559;348268;305600
gossip-dyn-6;0;E<> false;unknown;0;0;0;0;0
gossip-dyn-7;0;E<> false;unknown;0;0;0;0;0
gossip-smart-dyn-3;0;E<> false;false;125;200;3;62272;17916
gossip-smart-dyn-4;0;E<> false;false;13792;27364;538;64188;21256
gossip-smart-dyn-5;0;E<> false;false;4699522;12283672;986726;1047372;1026360
gossip-smart-dyn-6;0;E<> false;unknown;0;0;0;0;0
gossip-smart-dyn-7;0;E<> false;unknown;0;0;0;0;0
leader-election-2N;0;E<> false;false;40;40;1;62084;18132
leader-election-3N;0;E<> false;false;127537;128658;1120;73376;32516
leader-election-4N;0;E<> false;unknown;0;0;0;0;0
leader-election-5N;0;E<> false;unknown;0;0;0;0;0
printing-projects-2-5;0;E<> false;false;7037;7037;99;62900;19592
printing-projects-2-6;0;E<> false;false;121135;121135;3205;73184;30508
printing-projects-2-7;0;E<> false;false;1546909;1546909;82368;200856;159700
printing-projects-2-8;0;E<> false;false;49755991;49755991;8166069;4524232;4496880
printing-projects-2-9;0;E<> false;unknown;0;0;0;0;0
printing-projects-3-5;0;E<> false;false;89476;89476;2498;71148;28396
printing-projects-3-6;0;E<> false;false;2979853;2979853;363548;357168;327168
printing-projects-3-7;0;E<> false;unknown;0;0;0;0;0
printing-projects-3-8;0;E<> false;unknown;0;0;0;0;0
printing-projects-3-9;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-3;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-4;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-5;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-6;0;E<> false;unknown;0;0;0;0;0
tcp-aimd-2;0;E<> false;false;66261;139068;384;72156;28500
tcp-aimd-3;0;E<> false;false;37528973;83573844;850035;6301816;6261456
tcp-aimd-4;0;E<> false;unknown;0;0;0;0;0
tcp-aimd-5;0;E<> false;unknown;0;0;0;0;0
tcp-aimd-6;0;E<> false;unknown;0;0;0;0;0
tcp-linear-2;0;E<> false;false;75045;124913;330;71132;26980
tcp-linear-3;0;E<> false;false;46989547;94104063;835335;6917152;6879728
tcp-linear-4;0;E<> false;unknown;0;0;0;0;0
tcp-linear-5;0;E<> false;unknown;0;0;0;0;0
tcp-linear-6;0;E<> false;unknown;0;0;0;0;0
