model;query;formula;satisfied;stored;explored;time;virt mem;res mem
firefly-sync-W1-H1-N10;0;E<> false;false;6501;6501;255;62228;19176
firefly-sync-W1-H1-N15;0;E<> false;false;49233;49233;180645;66556;26584
firefly-sync-W1-H1-N20;0;E<> false;unknown;0;0;0;0;0
firefly-sync-W2-H1-N4;0;E<> false;false;167359;167359;27345;74372;30416
firefly-sync-W2-H1-N5;0;E<> false;unknown;0;0;0;0;0
gossip-dyn-3;0;E<> false;false;138;138;3;62176;17984
gossip-dyn-4;0;E<> false;false;17640;17640;133;63856;19864
gossip-dyn-5;0;E<> false;false;3264863;3264863;35047;351812;308732
gossip-dyn-6;0;E<> false;unknown;0;0;0;0;0
gossip-smart-dyn-3;0;E<> false;false;135;135;8;62272;18156
gossip-smart-dyn-4;0;E<> false;false;6972;7158;356;63128;19624
gossip-smart-dyn-5;0;E<> false;false;919243;984913;144123;173216;131268
gossip-smart-dyn-6;0;E<> false;unknown;0;0;0;0;0
leader-election-2N;0;E<> false;false;40;40;0;62084;17880
leader-election-3N;0;E<> false;false;127537;128658;1271;73392;32720
leader-election-4N;0;E<> false;unknown;0;0;0;0;0
printing-projects-2-5;0;E<> false;false;7257;7257;145;62904;19584
printing-projects-2-6;0;E<> false;false;125525;125525;4484;74272;30684
printing-projects-2-7;0;E<> false;false;1601757;1601757;108729;203136;161876
printing-projects-2-8;0;E<> false;false;51128387;51128387;9448237;4580072;4551776
printing-projects-2-9;0;E<> false;unknown;0;0;0;0;0
tcp-aimd-2;0;E<> false;false;28736;60934;218;66248;22136
tcp-aimd-3;0;E<> false;false;6486638;13761607;87975;1135472;1093764
tcp-aimd-4;0;E<> false;unknown;0;0;0;0;0
tcp-linear-2;0;E<> false;false;62358;103551;389;68564;25616
tcp-linear-3;0;E<> false;false;30274603;57780110;479942;4266976;4227880
tcp-linear-4;0;E<> false;unknown;0;0;0;0;0
SIMPLE-7;0;E<> false;false;4;4;0;61848;18068
SIMPLE-100;0;E<> false;false;4;4;0;61856;17920
SIMPLE-1000;0;E<> false;false;4;4;1;61852;17960
